id,name,price,description,image,category,retailer,quantity,onSale,hasRebate
15,"Echo Glow",29.99,"Echo Glow - Multicolor smart lamp, Works with Alexa",/images/lightings/lighting4.jpg,lightings,SmartHomes,2,0,0
16,"Govee RGBIC Floor Lamp",99.99,"Govee RGBIC Floor Lamp, LED Corner Lamp Works with Alexa, Smart Modern Floor Lamp",/images/lightings/lighting5.jpg,lightings,SmartHomes,31,1,0
17,"Amazon Echo Studio",199.99,"Amazon Echo Studio | Our best-sounding smart speaker ever - With Dolby Atmos, spatial audio processing technology, and Alexa",/images/speakers/speaker1.jpg,speakers,SmartHomes,16,1,1
18,"NOTABRICK Bluetooth Speakers",49.99,"NOTABRICK Bluetooth Speakers, 15W Portable Speakers Bluetooth Wireless V5.0 with Stereo Sound, Active Extra Bass, IPX6 Waterproof",/images/speakers/speaker2.jpg,speakers,SmartHomes,8,0,1
19,"Google Nest Mini",47.00,"Google Nest Mini 2nd Generation Smart Speaker with Google Assistant",/images/speakers/speaker3.jpg,speakers,SmartHomes,23,1,0
20,"Sonos Era 100",244.85,"Sonos Era 100 - White - Wireless, Alexa Enabled Smart Speaker",/images/speakers/speaker4.jpg,speakers,Smarthomes,0,0,0
21,"Anker Soundcore 2 Portable Bluetooth Speaker",27.99,"Anker Soundcore 2 Portable Bluetooth Speaker with 12W Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime",/images/speakers/speaker5.jpg,speakers,SmartHomes,40,1,0
22,"Edifier WiFi Smart Speaker",113.99,"Edifier WiFi Smart Speaker Without Microphone, Works with Alexa, Supports AirPlay 2, Spotify Connect",/images/speakers/speaker6.jpg,speakers,SmartHomes,48,1,0
23,"Amazon Smart Thermostat",79.99,"Amazon Smart Thermostat – Save money and energy - Works with Alexa and Ring - C-wire required",/images/thermostats/thermostat1.jpg,thermostats,Smarthomes,43,1,1
24,"GE CYNC Smart Thermostat",58.77,"GE CYNC Smart Thermostat for Home, Energy Star Certified, Smart Home Programmable Wi-Fi Thermostat",/images/thermostats/thermostat2.jpg,thermostats,SmartHomes,32,1,0
25,"Sensi Lite Smart Thermostat",75.00,"Sensi Lite Smart Thermostat, Data Privacy, Programmable, Wi-Fi, Easy DIY, Works With Alexa",/images/thermostats/thermostat3.jpg,thermostats,Smarthomes,14,0,1
26,"Google Nest Thermostat",144.99,"Google Nest Thermostat - Smart Thermostat for Home - Programmable Wifi Thermostat",/images/thermostats/thermostat4.jpg,thermostats,SmartHomes,47,1,0
27,"Honeywell Home RTH8800WF2022",85.00,"Honeywell Home RTH8800WF2022, T5 WiFi Smart Thermostat, 7 Day-Programmable Touchscreen",/images/thermostats/thermostat5.jpg,thermostats,SmartHomes,33,1,1
28,"Vine Thermostat",69.99,"Vine Thermostat for Home with Touchscreen Color Display, WiFi Smart Thermostat",/images/thermostats/thermostat6.jpg,thermostats,SmartHomes,28,0,1
